relative_path|source_kind|source_repo|source_commit|source_path|size_bytes
testdata/ja4/snapshots/ja4__insta@badcurveball.pcap.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@badcurveball.pcap.snap|1032
testdata/ja4/snapshots/ja4__insta@browsers-x509.pcapng.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@browsers-x509.pcapng.snap|3983
testdata/ja4/snapshots/ja4__insta@chrome-cloudflare-quic-with-secrets.pcapng.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@chrome-cloudflare-quic-with-secrets.pcapng.snap|691
testdata/ja4/snapshots/ja4__insta@CVE-2018-6794.pcap.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@CVE-2018-6794.pcap.snap|716
testdata/ja4/snapshots/ja4__insta@dhcp.pcapng.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@dhcp.pcapng.snap|53
testdata/ja4/snapshots/ja4__insta@dhcpv6.pcap.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@dhcpv6.pcap.snap|53
testdata/ja4/snapshots/ja4__insta@gre-erspan-vxlan.pcap.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@gre-erspan-vxlan.pcap.snap|204
testdata/ja4/snapshots/ja4__insta@gre-sample.pcap.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@gre-sample.pcap.snap|492
testdata/ja4/snapshots/ja4__insta@gtp-iphone.pcap.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@gtp-iphone.pcap.snap|672
testdata/ja4/snapshots/ja4__insta@http1.pcapng.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@http1.pcapng.snap|9751
testdata/ja4/snapshots/ja4__insta@http1-with-cookies.pcapng.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@http1-with-cookies.pcapng.snap|290
testdata/ja4/snapshots/ja4__insta@http2-with-cookies.pcapng.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@http2-with-cookies.pcapng.snap|2132
testdata/ja4/snapshots/ja4__insta@http-empty-useragent.pcap.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@http-empty-useragent.pcap.snap|277
testdata/ja4/snapshots/ja4__insta@https3-301-get.pcap.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@https3-301-get.pcap.snap|1455
testdata/ja4/snapshots/ja4__insta@https-connect.pcap.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@https-connect.pcap.snap|1245
testdata/ja4/snapshots/ja4__insta@ipv6.pcapng.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@ipv6.pcapng.snap|1433
testdata/ja4/snapshots/ja4__insta@latest.pcapng.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@latest.pcapng.snap|4883
testdata/ja4/snapshots/ja4__insta@macos_tcp_flags.pcap.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@macos_tcp_flags.pcap.snap|342
testdata/ja4/snapshots/ja4__insta@quic-tls-handshake.pcapng.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@quic-tls-handshake.pcapng.snap|236
testdata/ja4/snapshots/ja4__insta@quic-with-several-tls-frames.pcapng.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@quic-with-several-tls-frames.pcapng.snap|235
testdata/ja4/snapshots/ja4__insta@single-packets.pcap.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@single-packets.pcap.snap|1454
testdata/ja4/snapshots/ja4__insta@socks4-https.pcap.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@socks4-https.pcap.snap|218
testdata/ja4/snapshots/ja4__insta@socks-https-example.pcap.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@socks-https-example.pcap.snap|3545
testdata/ja4/snapshots/ja4__insta@ssh2-malformed.pcap.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@ssh2-malformed.pcap.snap|479
testdata/ja4/snapshots/ja4__insta@ssh2-moloch-crash.pcap.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@ssh2-moloch-crash.pcap.snap|479
testdata/ja4/snapshots/ja4__insta@ssh2.pcapng.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@ssh2.pcapng.snap|8896
testdata/ja4/snapshots/ja4__insta@ssh.pcapng.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@ssh.pcapng.snap|507
testdata/ja4/snapshots/ja4__insta@ssh-r.pcap.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@ssh-r.pcap.snap|1548
testdata/ja4/snapshots/ja4__insta@ssh-scp-1050.pcap.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@ssh-scp-1050.pcap.snap|626
testdata/ja4/snapshots/ja4__insta@sshv1.pcap.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@sshv1.pcap.snap|456
testdata/ja4/snapshots/ja4__insta@tcpdump-geneve.pcap.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@tcpdump-geneve.pcap.snap|495
testdata/ja4/snapshots/ja4__insta@tls12.pcap.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@tls12.pcap.snap|251
testdata/ja4/snapshots/ja4__insta@tls3.pcapng.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@tls3.pcapng.snap|3756
testdata/ja4/snapshots/ja4__insta@tls-alpn-h2.pcap.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@tls-alpn-h2.pcap.snap|1433
testdata/ja4/snapshots/ja4__insta@tls-handshake.pcapng.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@tls-handshake.pcapng.snap|23194
testdata/ja4/snapshots/ja4__insta@tls-non-ascii-alpn.pcapng.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@tls-non-ascii-alpn.pcapng.snap|283
testdata/ja4/snapshots/ja4__insta@tls-sni.pcapng.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@tls-sni.pcapng.snap|15198
testdata/ja4/snapshots/ja4__insta@v6.pcap.snap|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|rust/ja4/src/snapshots/ja4__insta@v6.pcap.snap|456
testdata/ja4/pcap.json/badcurveball.pcap.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/badcurveball.pcap.json|1713
testdata/ja4/pcap.json/browsers-x509.pcapng.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/browsers-x509.pcapng.json|5832
testdata/ja4/pcap.json/chrome-cloudflare-quic-with-secrets.pcapng.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/chrome-cloudflare-quic-with-secrets.pcapng.json|2118
testdata/ja4/pcap.json/CVE-2018-6794.pcap.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/CVE-2018-6794.pcap.json|2470
testdata/ja4/pcap.json/dhcp.pcapng.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/dhcp.pcapng.json|954
testdata/ja4/pcap.json/dhcpv6.pcap.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/dhcpv6.pcap.json|1422
testdata/ja4/pcap.json/gre-erspan-vxlan.pcap.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/gre-erspan-vxlan.pcap.json|838
testdata/ja4/pcap.json/gre-sample.pcap.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/gre-sample.pcap.json|461
testdata/ja4/pcap.json/http1.pcapng.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/http1.pcapng.json|28038
testdata/ja4/pcap.json/http1-with-cookies.pcapng.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/http1-with-cookies.pcapng.json|1085
testdata/ja4/pcap.json/http2-with-cookies.pcapng.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/http2-with-cookies.pcapng.json|63295
testdata/ja4/pcap.json/http-empty-useragent.pcap.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/http-empty-useragent.pcap.json|894
testdata/ja4/pcap.json/https3-301-get.pcap.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/https3-301-get.pcap.json|2573
testdata/ja4/pcap.json/https-connect.pcap.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/https-connect.pcap.json|2195
testdata/ja4/pcap.json/ipv6.pcapng.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/ipv6.pcapng.json|1486
testdata/ja4/pcap.json/latest.pcapng.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/latest.pcapng.json|10506
testdata/ja4/pcap.json/macos_tcp_flags.pcap.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/macos_tcp_flags.pcap.json|308
testdata/ja4/pcap.json/quic-tls-handshake.pcapng.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/quic-tls-handshake.pcapng.json|3
testdata/ja4/pcap.json/quic-with-several-tls-frames.pcapng.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/quic-with-several-tls-frames.pcapng.json|3
testdata/ja4/pcap.json/single-packets.pcap.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/single-packets.pcap.json|7592
testdata/ja4/pcap.json/socks4-https.pcap.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/socks4-https.pcap.json|470
testdata/ja4/pcap.json/socks-https-example.pcap.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/socks-https-example.pcap.json|5333
testdata/ja4/pcap.json/ssh2-malformed.pcap.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/ssh2-malformed.pcap.json|857
testdata/ja4/pcap.json/ssh2-moloch-crash.pcap.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/ssh2-moloch-crash.pcap.json|857
testdata/ja4/pcap.json/ssh2.pcapng.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/ssh2.pcapng.json|42455
testdata/ja4/pcap.json/ssh.pcapng.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/ssh.pcapng.json|236
testdata/ja4/pcap.json/ssh-r.pcap.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/ssh-r.pcap.json|5161
testdata/ja4/pcap.json/ssh-scp-1050.pcap.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/ssh-scp-1050.pcap.json|1807
testdata/ja4/pcap.json/sshv1.pcap.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/sshv1.pcap.json|1402
testdata/ja4/pcap.json/tcpdump-geneve.pcap.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/tcpdump-geneve.pcap.json|856
testdata/ja4/pcap.json/tls12.pcap.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/tls12.pcap.json|3
testdata/ja4/pcap.json/tls3.pcapng.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/tls3.pcapng.json|14537
testdata/ja4/pcap.json/tls-alpn-h2.pcap.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/tls-alpn-h2.pcap.json|1486
testdata/ja4/pcap.json/tls-handshake.pcapng.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/tls-handshake.pcapng.json|29709
testdata/ja4/pcap.json/tls-non-ascii-alpn.pcapng.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/tls-non-ascii-alpn.pcapng.json|308
testdata/ja4/pcap.json/tls-sni.pcapng.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/tls-sni.pcapng.json|3
testdata/ja4/pcap.json/v6.pcap.json|official|https://github.com/FoxIO-LLC/ja4|34c1c5180b2aad47db80cc917311612f26321234|wireshark/test/testdata/v6.pcap.json|1402
testdata/ja4/pcap/badcurveball.pcap|recovered|recovered-historical-artifact|not-authoritative-recovery|recovered/pcap/badcurveball.pcap|3348
testdata/ja4/pcap/browsers-x509.pcapng|recovered|recovered-historical-artifact|not-authoritative-recovery|recovered/pcap/browsers-x509.pcapng|62320
