capture|status|reason
badcurveball.pcap|supported|exact-ja4-snapshot
browsers-x509.pcapng|supported|exact-ja4-snapshot
chrome-cloudflare-quic-with-secrets.pcapng|unsupported|quic-runtime-not-in-scope
CVE-2018-6794.pcap|unsupported|no-supported-clienthello-ja4-expected-output
gre-erspan-vxlan.pcap|unsupported|non-tls-or-non-ja4-family-case
gre-sample.pcap|unsupported|non-tls-or-non-ja4-family-case
http1.pcapng|unsupported|no-supported-clienthello-ja4-expected-output
http1-with-cookies.pcapng|unsupported|no-supported-clienthello-ja4-expected-output
http2-with-cookies.pcapng|supported|exact-ja4-snapshot
ipv6.pcapng|supported|exact-ja4-snapshot
latest.pcapng|supported|exact-ja4-snapshot
macos_tcp_flags.pcap|supported|exact-ja4-snapshot
quic-tls-handshake.pcapng|unsupported|quic-runtime-not-in-scope
quic-with-several-tls-frames.pcapng|unsupported|quic-runtime-not-in-scope
single-packets.pcap|unsupported|no-supported-clienthello-ja4-expected-output
socks4-https.pcap|unsupported|no-supported-clienthello-ja4-expected-output
ssh2-malformed.pcap|unsupported|non-tls-or-non-ja4-family-case
ssh2-moloch-crash.pcap|unsupported|non-tls-or-non-ja4-family-case
ssh2.pcapng|supported|exact-ja4-snapshot
ssh.pcapng|unsupported|non-tls-or-non-ja4-family-case
ssh-r.pcap|unsupported|non-tls-or-non-ja4-family-case
ssh-scp-1050.pcap|unsupported|non-tls-or-non-ja4-family-case
sshv1.pcap|unsupported|non-tls-or-non-ja4-family-case
tcpdump-geneve.pcap|unsupported|non-tls-or-non-ja4-family-case
tls12.pcap|supported|exact-ja4-snapshot
tls3.pcapng|supported|exact-ja4-snapshot
tls-alpn-h2.pcap|supported|exact-ja4-snapshot
tls-handshake.pcapng|supported|exact-ja4-snapshot
tls-non-ascii-alpn.pcapng|unsupported|official-alpn-rule-conflicts-with-snapshot
tls-sni.pcapng|supported|exact-ja4-snapshot
v6.pcap|unsupported|no-supported-clienthello-ja4-expected-output
